traj_id,v0,theta_deg,t,x,y,t_flight,h_max,range
0,55.66094838906375,54.31699802199569,0.0,0.0,0.0,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,0.1881086492873642,6.10733214535958,8.331012365260554,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,0.3762172985747284,12.21466429071916,16.314899215301917,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,0.5643259478620926,18.321996436078738,23.951660550124092,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,0.7524345971494568,24.42932858143832,31.241296369727078,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,0.9405432464368211,30.536660726797905,38.183806674110876,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,1.1286518957241851,36.643992872157476,44.779191463275474,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,1.3167605450115494,42.75132501751706,51.02745073722089,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,1.5048691942989136,48.85865716287664,56.92858449594712,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,1.692977843586278,54.965989308236225,62.482592739454155,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,1.8810864928736422,61.07332145359581,67.689475467742,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,2.069195142161006,67.18065359895539,72.54923268081065,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,2.2573037914483702,73.28798574431495,77.06186437866012,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,2.4454124407357347,79.39531788967454,81.2273705612904,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,2.6335210900230988,85.50265003503412,85.04575122870148,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,2.8216297393104632,91.60998218039371,88.51700638089338,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,3.0097383885978273,97.71731432575328,91.64113601786609,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,3.1978470378851913,103.82464647111286,94.41814013961961,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,3.385955687172556,109.93197861647245,96.84801874615394,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,3.57406433645992,116.03931076183203,98.93077183746908,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,3.7621729857472843,122.14664290719162,100.66639941356503,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,3.9502816350346484,128.2539750525512,102.05490147444178,9.217323815080846,104.18104525515932,299.2592751226195
0,55.66094838906375,54.31699802199569,4.138390284322012,134.36130719791078,103.09627802009935,9.217323815080846,104.18104525515932,299.2592751226195
